City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Glendive,US,67.62,few clouds,47.1053,-104.7125,Super 8 by Wyndham Glendive
32,Abalak,RU,68.58,broken clouds,58.1286,68.5944,Туристический комплекс Абалак
197,Bethel,US,68.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
225,Balgazyn,RU,67.82,overcast clouds,51.0,95.2,NA
272,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
288,Periam,RO,68.16,scattered clouds,46.05,20.8667,Hotel
299,Montecristi,EC,67.82,light rain,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
309,Lunca Ilvei,RO,67.19,broken clouds,47.3667,24.9833,Cabana Codrul
335,Kholmogory,RU,68.58,broken clouds,64.2229,41.656,Гостевая комната
348,Maneadero,MX,68.11,scattered clouds,31.7167,-116.5667,Casa De Thompson
367,Kampene,CD,68.41,overcast clouds,-3.6,26.6667,NA
370,Guerrero Negro,MX,68.95,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
407,Snezhnogorsk,RU,67.78,overcast clouds,69.1933,33.2531,Severnoye Siyaniye
412,Campo Alegre,BR,67.17,overcast clouds,-9.7819,-36.3508,vilsfarless
441,Svetlaya,RU,68.34,broken clouds,46.5389,138.3297,NA
447,Bako,ET,67.46,overcast clouds,5.7833,36.5667,Goh Hotel
464,Cabinda,AO,68.56,broken clouds,-5.55,12.2,Hotel Maiombe
477,Merrill,US,68.72,overcast clouds,45.1805,-89.6835,Prairie Motel
488,Jumla,NP,67.35,overcast clouds,29.2747,82.1838,Royal Garden Hotel
536,Vila Velha,BR,67.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
537,Manitowoc,US,68.56,scattered clouds,44.0667,-87.8001,NA
546,Toledo,ES,68.9,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
548,Khomutovka,RU,68.41,clear sky,51.9207,34.5619,"Gostinnitsa ""Zarya"""
603,Tigil,RU,67.24,broken clouds,57.8,158.6667,Tigil'
607,Rafai,CF,68.09,overcast clouds,4.95,23.9167,NA
657,Saint Anthony,US,68.95,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
